timestamp,tx_bandwidth_hz,forced_center_hz,occupied_channels,chosen_channel,chosen_freq_hz,hopped_this_cycle,reaction_time_s
2026-09-17 18:56:56,20000000.0,,8;9;10;11,1,2412000000.0,True,1.455
2026-09-17 18:56:57,20000000.0,,1;2;3;7;8;9;10;11;12;13,5,2432000000.0,True,1.232
2026-09-17 18:56:59,20000000.0,,8;9;10;11;12,1,2412000000.0,True,1.212
2026-09-17 18:57:01,20000000.0,,8;9;10;11;12;13,1,2412000000.0,False,1.110
2026-09-17 18:57:03,20000000.0,,8;9;10;11;12;13,1,2412000000.0,False,1.109
2026-09-17 18:57:05,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.113
2026-09-17 18:57:07,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.129
2026-09-17 18:57:09,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.111
2026-09-17 18:57:11,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.126
2026-09-17 18:57:13,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.116
2026-09-17 18:57:15,20000000.0,,8;9;10;11;12;13,1,2412000000.0,False,1.148
2026-09-17 18:57:17,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.121
2026-09-17 18:57:19,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.107
2026-09-17 18:57:21,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.110
2026-09-17 18:57:23,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.103
2026-09-17 18:57:25,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.117
2026-09-17 18:57:27,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.125
2026-09-17 18:57:29,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.126
2026-09-17 18:57:31,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.121
2026-09-17 18:57:33,20000000.0,,8;9;10;11;12,1,2412000000.0,False,1.110
2026-09-17 19:00:09,10000000.0,,8;9;10;11,1,2412000000.0,True,1.375
